CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AC 512,,31.01,,,,,,
AC 515,AC515,31.01,,44,59,143.9,,
AC 516,,31.01,,,,,,
AC 520,,31.01,,,,,,
AC 532,,31.01,,,,,,
AC 533,AC533,31.01,,46.34,133.75,546,,
AC 535,AC 535,31.01,58.8,0.025,81.3,118.8,,
AC 540,,31.01,,,,,,
AC 547,AC 547,31.01,62.2,0.325,89.3,2.5,,
AC 552,AC552,31.01,,24.28,57.25,19.1,,
AC 554,AC 554,31.01,74.2,4.85,116.2,53,,
AC 556,AC 556,31.01,36.5,10.56,44,,,
AC 557,AC 557,31.01,59.8,15.8625,81.8,50.8,,
AC 558,,31.01,,,,,,
AC 559,AC 559,31.01,122.9,2.3,164.7,42.4,,
AC 560,,31.01,,,,,,
AC 563,,31.01,,,,,,
AC 564,AC564,31.01,,27.58,110.88,424.5,,
AC 567,AC 567,31.01,47.8,5.6,68,47.3,,
AC 568,AC568,31.01,,66.35,28.38,154.8,,
AC 569,,31.01,,,,,,
AC 570,AC570,31.01,,60.14,120.67,239.4,,
AC 571,,31.01,,,,,,
AC 574,AC 574,31.01,75.1,3.9375,91.9,42.3,,
AC 577,AC 577,31.01,64.8,0.5,84,49.5,,
AC 580,AC580,31.01,,152.7,119.54,519.6,,
AC 583,AC583,31.01,,43.41,121.71,538.9,,
AC 585,AC 585,31.01,118,0,175,0.1,,
AD 1,,31.09,,,,,,
AD 17,AD 17,31.09,106.6,62.775,147.5,131.9,,
AD 18,AD 18,31.09,56.8,0,97.2,4.4,,
AD 19,AD19,31.09,,103.53,103.5,158.4,,
AD 20,AD 20,31.09,48.8,5.083333333,45.8,9.7,,
AD 22,,31.09,,,,,,
AD 24,AD24,31.09,,14.38,49.69,294,,
AD 28,AD28,31.09,,14.3,88.63,268.9,,
AD 30,AD30,31.09,,46.6,38.25,20.5,,
AD 37,AD37,31.09,,43.34,87.75,121.4,,
AD 38,,31.09,,,,,,
AD 40,AD40,31.09,,12.39,137,84.2,71.83,24.9
AD 41,AD 41,31.09,68.5,3.166666667,87,30.6,,
AD 51,AD51,31.09,,94.42,97.21,462.7,,
AD 55,AD55,31.09,,26.06,105.79,316.1,,
AD 56,AD56,31.09,,20.15,88.38,78.5,,
AD 57,AD57,31.09,,51.97,66,92.8,,
AD 66,,31.09,,,,,,
AD 67,,31.09,,,,,,
AD 71,AD71,31.09,,76.28,80.44,112.5,,
AD 79,AD79,31.09,,24.21,180.6,39,84.19,415
AD 80,AD80,31.09,,19.81,109.33,310.3,,
AD 83,,31.09,,,,,,
AD 86,AD 86,31.09,23.3,0.45,33.1,11.2,,
AD 87,AD87,31.09,,16.55,92.75,46.6,,
AD 90 ,AD90,31.09,,126.25,82.75,58.7,,
AD 91,AD91,31.09,,15.05,47.25,46.7,,
AD 95,AD95,31.09,,66.48,85.42,47.7,,
AD 96,AD96,31.09,,75.46,129.67,826.6,,
AD 97,AD 97,31.09,56.3,0.5,84.7,109.6,,
AD 100,AD 100,31.09,86.8,0.1125,96.3,205.7,,
AD 101,AD101,31.09,,25.95,90.63,132,,
AD 103,,31.09,,,,,,
AD 111,AD 111,31.09,118.4,13.925,169.2,80.1,,
AD 114,AD114,31.09,,71.39,119.92,354.1,,
AD 115,AD115,31.09,,92.79,64.46,22.8,,
AD 116,AD116,31.09,,34.08,97.88,172.2,,
